instruction,input,output
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent shortness of breath, chest tightness, coughing."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent severe headache, nausea, sensitivity to light and sound."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent fatigue, weight gain, cold sensitivity."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent shortness of breath, fatigue, swollen legs, and rapid heartbeat."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent excessive worry, restlessness, difficulty concentrating."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent persistent sadness, loss of interest, sleep disturbances."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent often no symptoms; detected through blood tests."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent sneezing, runny nose, itching, swelling, red eyes."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent joint pain, stiffness, swelling, and reduced range of motion."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent heartburn, regurgitation, chest pain, difficulty swallowing."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent seizures, temporary confusion, loss of consciousness."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent eye pain, nausea, vision loss."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent joint pain, stiffness, loss of flexibility."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent joint pain, swollen joints, stiffness."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent red patches, itchiness, dry skin."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent mood swings, energy level fluctuations, difficulty in sleeping."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent hallucinations, delusions, thought disorders."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent tremors, stiffness, balance problems."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent fatigue, difficulty walking, muscle spasms."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent fatigue, joint pain, rash."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent fatigue, fever, weight loss."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent jaundice, fatigue, nausea."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent pelvic pain, menstrual cramps, infertility."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent memory loss, difficulty thinking, mood changes."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent inattention, hyperactivity, impulsivity."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent diarrhea, abdominal pain, weight loss."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent diarrhea, abdominal pain, rectal bleeding."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent movement problems, cognitive decline, psychiatric symptoms."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent muscle weakness, speech problems, difficulty breathing."
Provide the generic name of the described medication and its common use.,A patient is taking a medication called Aspirin. What is its generic name and what is it commonly used for?,"The generic name for Aspirin is acetylsalicylic acid, and it is commonly used to prevent muscle contractions, abnormal postures, involuntary movements."
